-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  28.6095   Longitude 77.1367 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 230.32 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
WS50M                 MERRA-2 Wind Speed at 50 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_LW_DWN,WS50M
2020,4,15,395.44,3.8
2020,4,16,393.29,6.33
2020,4,17,399.46,4.41
2020,4,18,403.15,4.08
2020,4,19,380.18,5.55
2020,4,20,394.95,5.42
2020,4,21,380.68,4.33
2020,4,22,380.59,3.95
2020,4,23,411.37,3.95
2020,4,24,394.12,1.34
2020,4,25,413.2,2.69
2020,4,26,417.7,4.45
2020,4,27,382.78,5.43
2020,4,28,396.78,3.7
2020,4,29,412.93,2.27
2020,4,30,427.49,3.12
2020,5,1,419.44,3.96
2020,5,2,419.77,5.7
2020,5,3,440.47,5.16
2020,5,4,413.67,3.25
2020,5,5,402.91,3.42
2020,5,6,423.95,3.15
2020,5,7,403.02,4.34
2020,5,8,398.2,2.84
2020,5,9,414.98,3.19
2020,5,10,443.7,4.54
2020,5,11,436.14,5.0
2020,5,12,429.16,3.32
2020,5,13,443.66,2.27
2020,5,14,429.62,3.12
2020,5,15,426.12,6.05
2020,5,16,401.24,6.84
2020,5,17,429.23,4.23
2020,5,18,406.96,4.85
2020,5,19,387.27,4.69
2020,5,20,379.2,6.23
2020,5,21,382.42,7.72
2020,5,22,397.27,3.59
2020,5,23,436.59,5.85
2020,5,24,428.68,6.6
2020,5,25,423.27,6.3
2020,5,26,429.61,7.94
2020,5,27,446.57,5.27
2020,5,28,466.35,6.23
2020,5,29,463.41,7.45
2020,5,30,439.1,5.63
2020,5,31,446.32,2.71
2020,6,1,420.41,3.44
2020,6,2,439.45,2.64
2020,6,3,447.74,3.69
2020,6,4,443.24,3.37
2020,6,5,435.8,3.59
2020,6,6,432.02,3.21
2020,6,7,452.98,2.98
2020,6,8,456.79,2.98
2020,6,9,461.93,3.22
2020,6,10,479.67,2.6
2020,6,11,473.74,2.46
2020,6,12,465.26,3.01
2020,6,13,474.69,3.32
2020,6,14,461.23,3.1
2020,6,15,454.65,3.4
2020,6,16,462.3,3.16
2020,6,17,460.3,4.62
2020,6,18,467.64,4.3
2020,6,19,475.69,4.77
2020,6,20,481.45,5.14
2020,6,21,462.46,2.99
2020,6,22,454.24,2.67
2020,6,23,455.12,5.19
2020,6,24,450.44,3.81
2020,6,25,459.3,2.09
2020,6,26,460.73,4.64
2020,6,27,471.27,7.19
2020,6,28,466.51,7.02
2020,6,29,470.73,5.66
2020,6,30,459.45,4.4
2020,7,1,453.62,3.31
2020,7,2,469.91,4.12
2020,7,3,467.76,4.73
2020,7,4,456.23,4.33
2020,7,5,440.42,3.26
2020,7,6,445.9,3.43
2020,7,7,445.48,6.87
2020,7,8,454.31,4.61
2020,7,9,455.52,3.83
2020,7,10,457.56,7.42
2020,7,11,458.55,4.67
2020,7,12,442.8,3.46
2020,7,13,444.61,4.24
2020,7,14,458.85,3.58
2020,7,15,454.45,4.29
2020,7,16,457.91,5.09
2020,7,17,460.84,5.12
2020,7,18,458.86,3.16
2020,7,19,450.52,5.07
2020,7,20,452.59,4.73
2020,7,21,454.73,3.74
2020,7,22,455.77,3.76
2020,7,23,436.3,3.89
2020,7,24,445.26,4.48
2020,7,25,445.06,4.84
2020,7,26,455.23,2.4
2020,7,27,454.72,3.98
2020,7,28,457.92,4.14
2020,7,29,456.01,5.11
2020,7,30,441.89,2.7
2020,7,31,446.31,2.87
2020,8,1,448.73,2.59
2020,8,2,443.98,3.59
2020,8,3,453.93,5.37
2020,8,4,462.61,4.08
2020,8,5,449.27,4.31
2020,8,6,447.88,8.8
2020,8,7,450.44,6.5
2020,8,8,453.02,1.41
2020,8,9,451.12,1.52
2020,8,10,450.12,3.06
2020,8,11,454.68,3.12
2020,8,12,452.84,4.77
2020,8,13,447.55,3.38
2020,8,14,443.88,3.86
2020,8,15,451.74,4.74
2020,8,16,447.36,3.45
2020,8,17,451.68,3.69
2020,8,18,451.51,3.16
2020,8,19,446.05,2.86
2020,8,20,439.87,3.54
2020,8,21,435.49,5.86
2020,8,22,437.44,6.36
2020,8,23,444.13,6.51
2020,8,24,440.26,6.73
2020,8,25,444.09,5.08
2020,8,26,440.48,5.12
2020,8,27,442.18,3.36
2020,8,28,441.05,2.23
2020,8,29,443.07,3.78
2020,8,30,444.59,9.45
2020,8,31,438.47,6.85
2020,9,1,437.39,3.95
2020,9,2,440.17,3.49
2020,9,3,437.66,4.7
2020,9,4,434.44,3.93
2020,9,5,433.06,2.81
2020,9,6,437.08,1.75
2020,9,7,435.57,2.48
2020,9,8,432.66,3.38
2020,9,9,429.69,2.61
2020,9,10,432.83,3.24
2020,9,11,444.36,2.93
2020,9,12,428.04,3.01
2020,9,13,431.3,2.28
2020,9,14,438.41,2.12
2020,9,15,435.67,2.03
2020,9,16,437.74,2.46
2020,9,17,438.76,4.51
2020,9,18,436.77,4.81
2020,9,19,435.89,2.94
2020,9,20,426.75,3.52
2020,9,21,427.92,3.2
2020,9,22,435.53,3.2
2020,9,23,432.44,3.11
2020,9,24,433.3,2.91
2020,9,25,422.96,3.38
2020,9,26,434.19,2.72
2020,9,27,420.3,2.36
2020,9,28,406.05,3.7
2020,9,29,402.55,4.3
2020,9,30,392.34,4.98
2020,10,1,386.88,4.19
2020,10,2,385.71,3.22
2020,10,3,388.65,3.27
2020,10,4,377.73,2.99
2020,10,5,367.52,4.68
2020,10,6,373.2,3.67
2020,10,7,377.22,3.33
2020,10,8,378.84,3.03
2020,10,9,383.4,2.98
2020,10,10,385.1,3.14
2020,10,11,378.55,3.53
2020,10,12,377.8,2.88
2020,10,13,406.84,1.73
2020,10,14,411.35,2.83
2020,10,15,381.67,3.98
2020,10,16,365.12,3.83
2020,10,17,376.19,2.94
2020,10,18,373.44,4.61
2020,10,19,359.26,4.89
2020,10,20,339.17,3.44
2020,10,21,361.49,2.11
2020,10,22,381.12,2.5
2020,10,23,366.72,3.81
2020,10,24,363.78,3.09
2020,10,25,366.1,3.05
2020,10,26,365.04,3.11
2020,10,27,369.2,4.28
2020,10,28,355.77,2.24
2020,10,29,354.37,2.55
2020,10,30,334.77,4.58
2020,10,31,336.3,6.09
2020,11,1,321.09,5.38
2020,11,2,312.43,4.8
2020,11,3,321.95,3.25
2020,11,4,346.91,3.7
2020,11,5,355.59,3.24
2020,11,6,357.38,2.72
2020,11,7,347.9,3.22
2020,11,8,363.41,2.55
2020,11,9,343.34,2.72
2020,11,10,345.16,1.97
2020,11,11,346.88,2.91
2020,11,12,348.46,2.91
2020,11,13,337.19,2.58
2020,11,14,350.74,2.09
2020,11,15,374.39,5.85
2020,11,16,386.09,4.22
2020,11,17,342.2,4.89
2020,11,18,328.35,3.89
2020,11,19,327.8,4.54
2020,11,20,295.48,6.47
2020,11,21,282.05,7.21
2020,11,22,292.34,4.46
2020,11,23,311.87,2.41
2020,11,24,326.2,2.73
2020,11,25,361.8,3.68
2020,11,26,341.68,5.14
2020,11,27,310.12,6.31
2020,11,28,304.96,5.73
2020,11,29,300.45,3.84
2020,11,30,309.42,3.41
2020,12,1,318.34,3.75
2020,12,2,314.63,5.27
2020,12,3,321.15,2.89
2020,12,4,320.62,2.45
2020,12,5,333.45,3.25
2020,12,6,337.91,3.88
2020,12,7,337.24,5.06
2020,12,8,324.64,2.62
2020,12,9,342.73,3.01
2020,12,10,347.27,3.55
2020,12,11,357.48,3.8
2020,12,12,372.86,5.09
2020,12,13,337.53,6.25
2020,12,14,309.2,4.85
2020,12,15,303.81,4.85
2020,12,16,293.43,6.8
2020,12,17,279.41,6.98
2020,12,18,265.78,7.28
2020,12,19,280.59,6.99
2020,12,20,292.31,6.51
2020,12,21,310.06,5.42
2020,12,22,306.61,3.88
2020,12,23,303.81,4.03
2020,12,24,302.87,4.58
2020,12,25,285.21,5.03
2020,12,26,306.18,4.59
2020,12,27,345.59,4.91
2020,12,28,276.12,5.45
2020,12,29,270.83,6.2
2020,12,30,302.96,5.3
2020,12,31,321.49,4.68
